Portfolio Name,Company Name,Asset Name,Sub-industry,Asset Type,Latitude,Longitude,Address,Asset ID,Country,Country Code,Realm,Biome,Ecosystem Functional Group,River Basin,Priority,Sensitive Locations,Biodiversity Importance (Aggregated),High Ecosystem Integrity (Aggregated),Decline in Ecosystem Integrity (Aggregated),Physical Water Risk (Aggregated),Ecosystem Services Provision (Aggregated)
SFI,China National Building Materials Group Co Ltd,Jiangxi Taihe Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,26.816525,114.860425,,17837,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,0,0.5503,0.0629,0.7705,0.5327,0.5503,0.4601
SFI,China National Building Materials Group Co Ltd,Sichuan Lisen Building Materials Group Co Ltd,Diversified Metals & Mining,Mining,31.258403,104.04243,,17838,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Daba Mountains evergreen forests,Yangtze,1,0.7309,0.7309,0.6688,0.4419,0.75,0.6166
SFI,China National Building Materials Group Co Ltd,Sinoma Tianshan (Yunfu) Cement Co Ltd,Diversified Metals & Mining,Mining,23.053386,111.998378,,17839,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Zhu Jiang,0,0.5167,0.0563,0.6445,0.5162,0.5167,0.5015
SFI,China National Building Materials Group Co Ltd,Sinoma Pingxiang Cement Co Ltd,Diversified Metals & Mining,Mining,27.697284,113.825503,,17840,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5378,0.1368,0.6915,0.5061,0.5378,0.4601
SFI,China National Building Materials Group Co Ltd,Sinoma Hengda Cement Co Ltd,Diversified Metals & Mining,Mining,23.035191,111.98069,,17841,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Zhu Jiang,0,0.5167,0.0466,0.6431,0.5162,0.5167,0.5012
SFI,China National Building Materials Group Co Ltd,Sinoma Anhui Cement Co Ltd,Diversified Metals & Mining,Mining,31.518947,117.752078,,17842,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,0,0.5628,0.0658,0.5628,0.365,0.75,0.3526
SFI,China National Building Materials Group Co Ltd,Sinoma Zhuzhou Cement Co Ltd,Diversified Metals & Mining,Mining,27.963997,113.216266,,17843,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5378,0.1118,0.5812,0.4134,0.5378,0.3843
SFI,China National Building Materials Group Co Ltd,Sinoma Hanjiang Cement Co Ltd,Diversified Metals & Mining,Mining,33.099215,106.992661,,17844,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Daba Mountains evergreen forests,Han Shui,1,0.6555,0.3142,0.7645,0.4735,0.6555,0.5133
SFI,China National Building Materials Group Co Ltd,Sinoma Changde Cement Co Ltd,Diversified Metals & Mining,Mining,29.311703,111.315189,,17845,China,CHN,Palearctic,Tropical & Subtropical Moist Broadleaf Forests,Guizhou Plateau broadleaf and mixed forests,Xiang Jiang,0,0.5504,0.0924,0.6408,0.464,0.5504,0.3634
SFI,China National Building Materials Group Co Ltd,Sinoma Xiangtan Cement Co Ltd,Diversified Metals & Mining,Mining,27.983793,112.847056,,17846,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Xiang Jiang,0,0.5636,0.1118,0.5636,0.3797,0.75,0.3739
SFI,China National Building Materials Group Co Ltd,Anji Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,30.723,119.701685,,17847,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,1,0.6324,0.262,0.6324,0.4303,0.75,0.4887
SFI,China National Building Materials Group Co Ltd,Anyang Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,36.167804,114.065663,,17848,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Central China Loess Plateau mixed forests,Yellow Sea & East China Sea,0,0.548,0.0305,0.4591,0.548,1,0.3432
SFI,China National Building Materials Group Co Ltd,Bengbu Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,32.782547,117.174059,,17849,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5115,0.0407,0.5115,0.4156,0.75,0.2017
SFI,China National Building Materials Group Co Ltd,Changxing South Cement Co Ltd,Diversified Metals & Mining,Mining,31.110549,119.723102,,17850,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5451,0.3168,0.5451,0.4045,0.7401,0.3579
SFI,China National Building Materials Group Co Ltd,Deqing Qianyuan Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,30.559768,120.09114,,17851,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.4639,0.3535,0.4639,0.3747,0.75,0.4075
SFI,China National Building Materials Group Co Ltd,Deqing Qingnan Cement Co Ltd,Diversified Metals & Mining,Mining,30.593294,120.232341,,17852,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.3933,0.3178,0.3933,0.3813,0.75,0.3888
SFI,China National Building Materials Group Co Ltd,Fuyang Sanshi Cement Co Ltd,Diversified Metals & Mining,Mining,29.936659,119.819031,,17853,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,1,0.6798,0.2073,0.6798,0.4585,0.5666,0.8543
SFI,China National Building Materials Group Co Ltd,Fuyang Shanya Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,29.875153,119.742454,,17854,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,1,0.7055,0.1809,0.7055,0.4914,0.5666,0.8836
SFI,China National Building Materials Group Co Ltd,Guangde Xinhang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.077059,119.578067,,17855,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,0,0.5653,0.2406,0.5653,0.3936,0.6652,0.3811
SFI,China National Building Materials Group Co Ltd,Guangxi Jinli Cement Co Ltd,Diversified Metals & Mining,Mining,22.730285,109.407823,,17856,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,South China-Vietnam subtropical evergreen forests,Zhu Jiang,0,0.5016,0.1582,0.6285,0.4707,0.5016,0.4851
SFI,China National Building Materials Group Co Ltd,Huaihai Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,34.415816,117.250549,,17857,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,1,0.6667,0.6667,0.5128,0.3872,1,0.2102
SFI,Confidential,Confidential617,Diversified Metals & Mining,Mining,28.301352,30.746827,,20101,Egypt,EGY,Palearctic,Flooded Grasslands & Savannas,Nile Delta flooded savanna,Nile,1,0.7028,0.0021,0.7028,0.3933,0.8125,0.1618
SFI,China National Building Materials Group Co Ltd,Huichang Red Lion Cement Co Ltd,Diversified Metals & Mining,Mining,25.844446,115.865441,,17858,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yangtze,1,0.6996,0.0695,0.6998,0.3588,0.6996,0.5349
SFI,China National Building Materials Group Co Ltd,Hunan Anren South Cement Co Ltd,Diversified Metals & Mining,Mining,26.553552,113.304149,,17859,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5486,0.2117,0.6892,0.3075,0.5486,0.4295
SFI,China National Building Materials Group Co Ltd,Hunan Guzhang South Cement Co Ltd,Diversified Metals & Mining,Mining,28.720093,109.882675,,17860,China,CHN,Palearctic,Tropical & Subtropical Moist Broadleaf Forests,Guizhou Plateau broadleaf and mixed forests,Xiang Jiang,0,0.5608,0.5045,0.7586,0.4836,0.5608,0.487
SFI,China National Building Materials Group Co Ltd,Hunan Hengnan Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,26.828354,112.953578,,17861,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5663,0.1464,0.6145,0.4372,0.5663,0.392
SFI,China National Building Materials Group Co Ltd,Hunan Ningxiang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,28.224586,112.682477,,17862,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Xiang Jiang,0,0.5751,0.131,0.5751,0.406,0.75,0.3611
SFI,China National Building Materials Group Co Ltd,Hunan Pingtang South Cement Co Ltd,Diversified Metals & Mining,Mining,28.053748,112.892786,,17863,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Xiang Jiang,0,0.5587,0.1118,0.5587,0.3889,0.75,0.3645
SFI,China National Building Materials Group Co Ltd,Hunan Shaofeng South Cement Co Ltd,Diversified Metals & Mining,Mining,27.733621,112.218816,,17864,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,1,0.67,0.0398,0.67,0.4489,0.75,0.4039
SFI,China National Building Materials Group Co Ltd,Hunan Taojiang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,28.314626,112.236868,,17865,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5566,0.1664,0.6635,0.479,0.5566,0.388
SFI,China National Building Materials Group Co Ltd,Huzhou Baixian South Cement Co Ltd,Diversified Metals & Mining,Mining,31.116327,119.700671,,17866,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5457,0.3165,0.5457,0.4019,0.7401,0.3626
SFI,China National Building Materials Group Co Ltd,Huzhou Lijiaxiang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,30.943903,119.981004,,17867,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5579,0.2529,0.5579,0.4139,0.7401,0.3227
SFI,China National Building Materials Group Co Ltd,Huzhou Xiaopu Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.04043,119.823512,,17868,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5539,0.2466,0.5539,0.4116,0.7401,0.374
SFI,China National Building Materials Group Co Ltd,Jiangsu Qingshi Cement Co Ltd,Diversified Metals & Mining,Mining,31.245944,119.80014,,17869,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5314,0.3104,0.5314,0.2224,0.7401,0.4132
SFI,China National Building Materials Group Co Ltd,Jiangsu Yangxian Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,31.241391,119.802962,,17870,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yellow Sea & East China Sea,0,0.5317,0.311,0.5317,0.2205,0.7401,0.406
SFI,China National Building Materials Group Co Ltd,Jiangxi Anfu Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,27.40032,114.690611,,17871,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yangtze,0,0.5482,0.1335,0.7737,0.487,0.5482,0.492
SFI,China National Building Materials Group Co Ltd,Jiangxi Fengcheng Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,28.222593,115.698101,,17872,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,0,0.5435,0.0817,0.5837,0.4649,0.5435,0.3156
SFI,China National Building Materials Group Co Ltd,Jiangxi Hongsheng Yuhua Cement Co Ltd,Diversified Metals & Mining,Mining,27.369127,114.669097,,17873,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yangtze,0,0.5482,0.1335,0.7708,0.4852,0.5482,0.4894
SFI,China National Building Materials Group Co Ltd,Jiangxi Hushan Yanying Cement Co Ltd,Diversified Metals & Mining,Mining,28.700614,118.339868,,17874,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yangtze,0,0.5501,0.4893,0.7009,0.3652,0.5501,0.5078
SFI,China National Building Materials Group Co Ltd,Jiangxi Jiujiang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,29.926156,116.565899,,17875,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,1,0.6679,0.5632,0.6679,0.4072,0.6718,0.4984
SFI,China National Building Materials Group Co Ltd,Jiangxi Nancheng Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,27.408521,116.669502,,17876,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yangtze,1,0.7462,0.0651,0.7462,0.5137,0.75,0.5288
SFI,China National Building Materials Group Co Ltd,Jiangxi Pingxiang Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,27.651948,113.735237,,17877,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Xiang Jiang,0,0.5378,0.1368,0.6892,0.5122,0.5378,0.4572
SFI,China National Building Materials Group Co Ltd,Jiangxi Shanggao South Cement Co Ltd,Diversified Metals & Mining,Mining,28.180561,114.62973,,17878,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Changjiang Plain evergreen forests,Yangtze,0,0.522,0.2005,0.7277,0.4913,0.522,0.4753
SFI,China National Building Materials Group Co Ltd,Jiangxi Yongfeng South Cement Co Ltd,Diversified Metals & Mining,Mining,27.069471,115.741168,,17879,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yangtze,0,0.5435,0.0578,0.7438,0.5262,0.5435,0.5094
SFI,China National Building Materials Group Co Ltd,Jining Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,35.628638,117.316337,,17880,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Huang He Plain mixed forests,Yellow Sea & East China Sea,0,0.5489,0.0279,0.5489,0.4685,1,0.1917
SFI,China National Building Materials Group Co Ltd,Jiyuan Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,35.140431,112.611989,,17881,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Central China Loess Plateau mixed forests,Yellow River,0,0.4471,0.0934,0.4389,0.4471,0.75,0.2875
SFI,China National Building Materials Group Co Ltd,Lanxi Nanfang Cement Co Ltd,Diversified Metals & Mining,Mining,29.200945,119.510059,,17882,China,CHN,Indomalayan,Tropical & Subtropical Moist Broadleaf Forests,Jian Nan subtropical evergreen forests,Yellow Sea & East China Sea,0,0.5626,0.2079,0.6492,0.4718,0.5626,0.5142
SFI,China National Building Materials Group Co Ltd,Lincheng Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,37.45393,114.45838,,17883,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Central China Loess Plateau mixed forests,Yellow Sea & East China Sea,0,0.4958,0.026,0.4958,0.4489,1,0.3959
SFI,China National Building Materials Group Co Ltd,Lincheng Zhonglian Fushi Cement Co Ltd,Diversified Metals & Mining,Mining,37.525584,114.441562,,17884,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Central China Loess Plateau mixed forests,Yellow Sea & East China Sea,0,0.4929,0.0264,0.4929,0.444,1,0.3929
SFI,China National Building Materials Group Co Ltd,Luoyang Zhonglian Cement Co Ltd,Diversified Metals & Mining,Mining,34.159013,112.403142,,17885,China,CHN,Palearctic,Temperate Broadleaf & Mixed Forests,Qin Ling Mountains deciduous forests,Yellow Sea & East China Sea,1,0.6284,0.0791,0.6284,0.4998,1,0.2515
